step,time_years,spot,log_return,realized_volatility,time_to_maturity,option_fair_value,option_bid,option_ask,option_mid,option_spread,option_delta,option_gamma,option_vega,option_theta,option_rho,option_inventory,stock_position,net_delta,hedge_error,option_cash,hedge_cash,cash,option_market_value,stock_market_value,gross_exposure,portfolio_value
40,0.002035002035002035,100.24369175401645,0.001021706528776018,0.18380994226510816,0.117012617012617,3.246463496212982,3.2,3.24,3.22,0.040000000000000036,0.5402516237134701,0.05261334316170718,13.610227253657087,-13.812767491673846,5.957153724263945,17,-909.2684047303711,9.159355582528065,9.159355582528065,-5402.659999999998,91240.15448742663,85837.49448742662,5518.98794356207,-91148.4216854576,96667.40962901966,208.06074553109647
41,0.0020858770858770857,100.36075543916287,0.0011671097034235496,0.18128844187060236,0.11696174196174196,3.309364425307699,3.2600000000000002,3.3000000000000003,3.2800000000000002,0.040000000000000036,0.546400276622719,0.05247479405510263,13.60019373072715,-13.821244978785465,6.026778920937013,17,-928.8804702586223,0.0,0.0,-5402.659999999998,93208.33778547867,87805.67778547866,5625.919523023088,-93223.14570784019,98849.06523086327,208.4516006615595
42,0.0021367521367521365,100.44641126131938,0.0008531152424392437,0.1804530068047761,0.1169108669108669,3.3556558106792593,3.31,3.35,3.33,0.040000000000000036,0.5508892497209712,0.05236883009943586,13.589994582344533,-13.826242978884128,6.076932436186591,21,-1156.8674244140395,0.0,0.0,-6726.739999999998,116107.66412122131,109380.92412122132,7046.877202426444,-116203.18108751593,123250.05828994238,224.62023613184283
43,0.0021876271876271874,100.34164946412221,-0.001043506335237072,0.1794723030946648,0.11685999185999185,3.2975279692341104,3.24,3.29,3.265,0.04999999999999982,0.545393424093795,0.05252301383501083,13.595670881421118,-13.826131851728805,6.009892934593956,21,-1156.8674244140395,-11.541233817069951,-11.541233817069951,-6726.739999999998,116107.66412122131,109380.92412122132,6924.808735391632,-116081.98557701545,123006.79431240709,223.74727959750453
44,0.002238502238502238,100.37829176188994,0.0003651086977297605,0.16463430321219188,0.1168091168091168,3.316844144318381,3.2600000000000002,3.31,3.285,0.04999999999999982,0.547315504330439,0.05248561582575668,13.589995705364972,-13.830233419438528,6.02989116991995,16,-875.7048069287023,0.0,0.0,-5071.839999999998,87883.62973957896,82811.78973957896,5306.9506309094095,-87901.75260717877,93208.70323808819,216.9877633096039
45,0.0022893772893772895,100.39675361476984,0.00018390585241646074,0.15679014710893543,0.11675824175824175,3.3262538332314193,3.2800000000000002,3.3200000000000003,3.3000000000000003,0.040000000000000036,0.548282875856482,0.0524720013962078,13.585549101102073,-13.833576892438984,6.038685703369486,11,-603.1111634421302,0.0,0.0,-3411.939999999998,60514.74450166207,57102.804501662074,3658.879216554561,-60550.402878416724,64209.282094971284,211.2808397999106
46,0.0023402523402523403,100.43129277001808,0.0003439674508669447,0.15682636344665046,0.1167073667073667,3.3445184534381127,3.31,3.35,3.33,0.040000000000000036,0.5500934114597014,0.05243573765091173,13.57958315725965,-13.837183380379958,6.057354383626104,8,-440.0747291677611,0.0,0.0,-2406.9999999999977,44139.96594087996,41732.96594087996,2675.61476275049,-44197.27396573383,46872.88872848432,211.3067378966225
47,0.002391127391127391,100.56880091444667,0.001368239818799757,0.1581424747994819,0.11665649165649165,3.419951834300491,3.39,3.43,3.41,0.040000000000000036,0.5572907619369345,0.052246884219299225,13.561837374479135,-13.84051277245808,6.13917757845587,8,-440.0747291677611,5.757880381786492,5.757880381786492,-2406.9999999999977,44139.96594087996,41732.96594087996,2735.961467440393,-44257.7878251516,46993.749292591994,211.13958316875505
48,0.002442002442002442,100.60417390091948,0.00035166738345231564,0.15803500416054264,0.1166056166056166,3.438993368568866,3.41,3.45,3.43,0.040000000000000036,0.5591389303121628,0.0522040952663548,13.554350839597005,-13.842761845538584,6.158259408402955,11,-615.0528233433791,0.0,0.0,-3430.0599999999977,61742.61237984454,58312.55237984454,3782.892705425753,-61876.88119788882,65659.77390331458,218.56388738147507
49,0.002492877492877493,100.71148995267927,0.001066147162827311,0.15468217957520186,0.11655474155474155,3.4985940880217115,3.46,3.5,3.48,0.040000000000000036,0.5647344015802733,0.052044537488257936,13.535859009916026,-13.842169781980106,6.221301520239081,7,-395.3140811061913,0.0,0.0,-2030.1399999999976,39611.28973800306,37581.14973800306,2449.015861615198,-39812.67010747882,42261.68596909402,217.49549213943828
50,0.0025437525437525437,100.72225136121604,0.00010684812263077487,0.15278108477919475,0.1165038665038665,3.503970171208884,3.47,3.5100000000000002,3.49,0.040000000000000036,0.565296719734687,0.05203816743790931,13.531185975481085,-13.84448284934031,6.22526621958467,3,-169.5890159204061,0.0,0.0,-626.2199999999975,16874.616206995823,16248.396206995825,1051.1910513626653,-17081.38748963641,18132.578540999075,218.19976872207917
51,0.0025946275946275945,100.76803868423715,0.00045448665341584935,0.15131030193829734,0.11645299145299144,3.5292038259702707,3.5,3.54,3.52,0.040000000000000036,0.5676805294890818,0.05197312160693376,13.520655383313827,-13.844934409881802,6.250596816833589,-4,227.0722117956327,0.0,0.0,1851.6400000000026,-23098.15627072793,-21246.516270727927,-1411.6815303881083,22881.62142233761,24293.302952725717,223.42362122157283
52,0.0026455026455026454,100.86799107074268,0.0009914140326399005,0.1521336520168786,0.1164021164021164,3.5855000936397445,3.5700000000000003,3.61,3.59,0.03999999999999959,0.5728707935038064,0.051811571903948986,13.499480895537715,-13.840985966086969,6.308858051768319,-9,515.5837141534258,0.0,0.0,3656.5400000000027,-52201.186993142546,-48544.646993142545,-3226.95008427577,52005.8934754481,55232.84355972387,234.29639802978636
53,0.002696377696377696,100.63769553178145,-0.0022857482894082797,0.1587869294335298,0.11635124135124135,3.4542430997731373,3.45,3.49,3.47,0.040000000000000036,0.5608949513060304,0.05220860904525226,13.53496670101602,-13.855994894053872,6.165793448393367,-9,515.5837141534258,10.778257977998464,10.778257977998464,3656.5400000000027,-52201.186993142546,-48544.646993142545,-3108.8187897958237,51887.156846117505,54995.97563591333,233.69106317913247
54,0.002747252747252747,100.58730672348504,-0.0005008205619068962,0.15898960403669943,0.11630036630036629,3.4253415329221752,3.42,3.46,3.44,0.040000000000000036,0.5582630580373726,0.052298464527885266,13.538765353903326,-13.859903445222702,6.1323829318871494,-12,669.9156696448472,0.0,0.0,4694.480000000003,-67725.7989291806,-63031.3189291806,-4110.40983950661,67385.01294143512,71495.42278094174,243.28417274792446
55,0.002798127798127798,100.51317108385227,-0.0007372995211104781,0.15658555081532527,0.11624949124949124,3.38339294129009,3.38,3.42,3.4,0.040000000000000036,0.5543816923746201,0.052421412753708554,13.544669494088092,-13.8633029253207,6.084413387821239,-16,887.0107077993921,0.0,0.0,6062.400000000003,-89547.80068619938,-83485.40068619937,-5413.428706064144,89156.25902624919,94569.68773231332,257.42963398566644
56,0.0028490028490028487,100.41253585167384,-0.0010017159290207948,0.15844376655753592,0.1161986161986162,3.327162997340352,3.33,3.37,3.35,0.040000000000000036,0.5490977649708659,0.05257669763249394,13.551669808691216,-13.86493858435789,6.020149911257666,-12,658.9173179650392,0.0,0.0,4730.320000000003,-66645.51017371181,-61915.1901737118,-3992.5955968084227,66163.55881345326,70156.15441026168,255.77304293304041
57,0.0028998778998778996,100.36927277129377,-0.0004309462231297949,0.15451538584708627,0.11614774114774114,3.3027511692971956,3.3000000000000003,3.34,3.3200000000000003,0.03999999999999959,0.546820174438498,0.0526473505807815,13.552253742023066,-13.866551984683362,5.991038945308084,-12,658.9173179650392,2.7331086388415997,2.7331086388415997,4730.320000000003,-66645.51017371181,-61915.1901737118,-3963.3014031566345,66135.05202056232,70098.35342371895,256.5604436938884
